request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_190,530.45,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,162.55,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,046 request. Although USD 162.55 is available today, the full amount cannot be completed safely within 90 days."
request_193,34.68,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-17,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,34115.95,affordable_later,wait,2025-10-16:132800,2025-10-16,none,"Pay INR 132,800 in full on 16 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,961.16,not_affordable,not_recommended,none,2026-02-15,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025. This leaves at least IDR 26,245,900 available."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,571.23,affordable_later,wait,2026-01-14:588.74,2026-01-14,none,"Pay EUR 588.74 in full on 14 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4550.44,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,1013822.21,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 4,413,000 request. Although IDR 1,013,822.21 is available today, the full amount cannot be completed safely within 90 days."
request_209,1718.56,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,718.56 is available today, the full amount cannot be completed safely within 90 days."
request_210,1130.41,affordable_with_plan,partial_payment,2026-04-06:1130.41|2026-04-15:229.61,2026-04-15,none,"Pay USD 1,130.41 today and the remaining USD 229.61 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,283.61,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_212,3736044.19,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 3,736,044.19 is available today, the full amount cannot be completed safely within 90 days."
request_213,2472.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,362.40 request. Although USD 2,472.80 is available today, the full amount cannot be completed safely within 90 days."
request_214,40598.46,affordable_with_plan,partial_payment,2024-12-04:40598.46|2024-12-16:29151.54,2024-12-16,none,"Pay INR 40,598.46 today and the remaining INR 29,151.54 on 16 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,394.21,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 1,800 minimum protected."
request_217,19561.81,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-16,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,24316753.13,not_affordable,not_recommended,none,2025-09-15,none,"Do not make this payment by 6 October 2025. None of the available options keeps the IDR 34,477,200 minimum protected."
request_219,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,673.10 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
request_220,146.11,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 146.11 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040, starting 4 February 2025. This leaves at least IDR 22,187,600 available."
request_225,9797462.95,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-16,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,7209.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 7,209.41 is available today, the full amount cannot be completed safely within 90 days."
request_228,3743504.48,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 3,743,504.48 is available today, the full amount cannot be completed safely within 90 days."
request_229,467.88,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,10376.05,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 35,706 request. Although ZAR 10,376.05 is available today, the full amount cannot be completed safely within 90 days."
request_232,652.47,affordable_later,wait,2024-06-14:1970.10,2024-06-14,none,"Pay EUR 1,970.10 in full on 14 June 2024. Paying earlier would take the balance below the EUR 2,400 minimum."
request_233,4310916.63,affordable_with_plan,partial_payment,2025-11-07:4310916.63|2025-11-14:1930083.37,2025-11-14,none,"Pay IDR 4,310,916.63 today and the remaining IDR 1,930,083.37 on 14 November 2025. This completes the full request and keeps the IDR 10,365,700 minimum protected."
request_234,182.08,not_affordable,not_recommended,none,2026-09-16,none,Do not make this payment by 15 September 2026. None of the available options keeps the EUR 700 minimum protected.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5446173.76,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,446,173.76 is available today, the full amount cannot be completed safely within 90 days."
request_237,22623733.08,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,"reduce the discretionary shopping to IDR 548,720, then pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,16494.7,affordable_with_plan,partial_payment,2026-01-06:16494.70|2026-03-16:84705.30,2026-03-16,none,"Pay INR 16,494.70 today and the remaining INR 84,705.30 on 16 March 2026. This completes the full request and keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,104.73,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. Although EUR 104.73 is available today, the full amount cannot be completed safely within 90 days."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,23681.93,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,943.04,affordable_with_plan,partial_payment,2025-02-07:943.04|2025-03-07:1022.56,2025-03-07,none,"Pay USD 943.04 today and the remaining USD 1,022.56 on 7 March 2025. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,129.32,not_affordable,not_recommended,none,2026-03-18,none,Do not make this payment by 15 March 2026. None of the available options keeps the USD 600 minimum protected.
request_250,15571.41,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 15,571.41 is available today, the full amount cannot be completed safely within 90 days."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3899497.37,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. None of the available options keeps the IDR 15,152,200 minimum protected."
request_253,1365.45,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-18,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,624.88,affordable_later,wait,2025-10-13:3535.20,2025-10-13,none,"Pay USD 3,535.20 in full on 13 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,161902.81,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-14,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,368.63,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the USD 1,600 minimum protected."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,253.38,not_affordable,not_recommended,none,2024-11-16,none,Do not make this payment by 15 November 2024. None of the available options keeps the EUR 600 minimum protected.
request_260,9102949.02,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 9,102,949.02 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,6737.14,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 6,737.14 is available today, the full amount cannot be completed safely within 90 days."
request_264,19578.58,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 111,300 request. Although INR 19,578.58 is available today, the full amount cannot be completed safely within 90 days."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 45,970 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_266,458.12,not_affordable,not_recommended,none,2025-10-16,none,Do not make this payment by 3 October 2025. None of the available options keeps the EUR 900 minimum protected.
request_267,1632.55,not_affordable,not_recommended,none,2026-03-18,none,"Do not make this payment by 17 March 2026. None of the available options keeps the EUR 1,500 minimum protected."
request_268,1035.8,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,426.60 request. Although EUR 1,035.80 is available today, the full amount cannot be completed safely within 90 days."
request_269,10070.48,affordable_later,wait,2025-11-14:15490,2025-11-14,none,"Pay ZAR 15,490 in full on 14 November 2025. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,98.79,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 98.79 is available today, the full amount cannot be completed safely within 90 days."
request_271,5278.26,not_affordable,not_recommended,none,2024-11-18,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5426190.15,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9543524.88,affordable_with_plan,partial_payment,2026-04-07:9543524.88|2026-04-15:6317475.12,2026-04-15,none,"Pay IDR 9,543,524.88 today and the remaining IDR 6,317,475.12 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2120.18,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
